"","NULL.","NULL.GP","NULL.GS","NULL.MP","NULL.G","NULL.S","NULL.SOT","NULL.A","NULL.TKL","NULL.YC","NULL.RC","NULL.FC","NULL.FS","team.x","season.x","UID","players.val[nr.name, 2]","Market.value","team.y","season.y","players.val[nr.pos, 1]"
"955","Marouane Fellaini","3","3","270","0","5","1","0","5","0","0","8","2","everton","2013","Marouane Fellaini 2013","Marouane Fellaini","28,00 Mill. €","everton-fc","2013","Central Midfield"
"956","Luke Garbutt","1","0","1","0","0","0","0","0","0","0","0","0","everton","2013","Luke Garbutt 2013","Luke Garbutt","-","everton-fc","2013","Left-Back"
"957","Darron Gibson","1","0","27","0","0","0","0","0","0","0","1","1","everton","2013","Darron Gibson 2013","Darron Gibson","3,50 Mill. €","everton-fc","2013","Central Midfield"
"958","John Heitinga","1","0","21","0","0","0","0","0","0","0","0","0","everton","2013","John Heitinga 2013",NA,NA,NA,NA,NA
"959","Tony Hibbert","1","0","3","0","0","0","0","0","0","0","0","0","everton","2013","Tony Hibbert 2013","Tony Hibbert","1,50 Mill. €","everton-fc","2013","Right-Back"
"960","Tim Howard","37","37","3263","0","0","0","1","5","4","1","2","3","everton","2013","Tim Howard 2013","Tim Howard","3,50 Mill. €","everton-fc","2013","Keeper"
"961","Phil Jagielka","26","26","2316","0","15","3","1","12","2","0","9","18","everton","2013","Phil Jagielka 2013","Phil Jagielka","11,00 Mill. €","everton-fc","2013","Centre Back"
"962","Nikica Jelavic","9","5","378","0","15","7","1","1","0","0","5","4","everton","2013","Nikica Jelavic 2013","Nikica Jelavic","9,00 Mill. €","everton-fc","2013","Centre Forward"
"963","Joel","2","1","156","0","0","0","0","0","0","0","0","0","everton","2013","Joel 2013",NA,NA,NA,NA,NA
"964","Arouna Koné","5","0","79","0","3","2","0","0","0","0","0","1","everton","2013","Arouna Koné 2013","Arouna Koné","5,00 Mill. €","everton-fc","2013","Centre Forward"
"965","Romelu Lukaku","31","29","2562","15","98","45","7","5","1","0","23","11","everton","2013","Romelu Lukaku 2013","Romelu Lukaku","19,00 Mill. €","chelsea-fc","2013","Centre Forward"
"966","Romelu Lukaku","31","29","2562","15","98","45","7","5","1","0","23","11","everton","2013","Romelu Lukaku 2013","Romelu Lukaku","19,00 Mill. €","everton-fc","2013","Centre Forward"
"967","James McCarthy","34","31","2856","1","19","5","3","25","5","0","45","28","everton","2013","James McCarthy 2013","James McCarthy","6,50 Mill. €","everton-fc","2013","Central Midfield"
"968","Aiden McGeady","16","4","470","0","10","2","1","3","0","0","2","3","everton","2013","Aiden McGeady 2013","Aiden McGeady","7,50 Mill. €","everton-fc","2013","Right Wing"
"969","Kevin Mirallas","32","28","2330","8","78","25","8","11","6","0","31","34","everton","2013","Kevin Mirallas 2013","Kevin Mirallas","10,00 Mill. €","everton-fc","2013","Left Wing"
"970","Steven Naismith","31","13","1412","5","35","13","2","11","1","0","26","31","everton","2013","Steven Naismith 2013","Steven Naismith","5,00 Mill. €","everton-fc","2013","Secondary Striker"
"971","Leon Osman","38","27","2172","3","50","16","4","12","4","0","27","29","everton","2013","Leon Osman 2013","Leon Osman","4,50 Mill. €","everton-fc","2013","Attacking Midfield"
"972","Bryan Oviedo","9","8","718","2","15","5","1","5","1","0","12","11","everton","2013","Bryan Oviedo 2013","Bryan Oviedo","4,50 Mill. €","everton-fc","2013","Left-Back"
"973","Steven Pienaar","23","19","1633","1","20","6","2","6","2","0","23","43","everton","2013","Steven Pienaar 2013","Steven Pienaar","5,50 Mill. €","everton-fc","2013","Left Wing"
"974","John Stones","21","15","1368","0","1","0","0","8","1","0","3","8","everton","2013","John Stones 2013","John Stones","3,50 Mill. €","everton-fc","2013","Centre Back"
"975","Lacina Traoré","1","0","1","0","0","0","0","0","0","0","0","1","everton","2013","Lacina Traoré 2013","Lacina Traoré","16,00 Mill. €","everton-fc","2013","Centre Forward"
"976","Emmanuel Adebayor","21","20","1808","11","44","24","4","13","0","0","26","13","tottenham-hotspur","2013","Emmanuel Adebayor 2013","Emmanuel Adebayor","13,00 Mill. €","tottenham-hotspur","2013","Centre Forward"
"977","Nabil Bentaleb","15","11","1068","0","16","2","1","10","2","0","17","10","tottenham-hotspur","2013","Nabil Bentaleb 2013","Nabil Bentaleb","-","tottenham-hotspur","2013","Defensive Midfield"
"978","Etienne Capoue","12","8","686","1","6","3","0","4","1","0","17","7","tottenham-hotspur","2013","Etienne Capoue 2013",NA,NA,NA,NA,NA
"979","Nacer Chadli","24","15","1452","1","30","5","3","6","1","0","19","11","tottenham-hotspur","2013","Nacer Chadli 2013","Nacer Chadli","9,00 Mill. €","tottenham-hotspur","2013","Left Wing"
"980","Vlad Chiriches","17","16","1412","1","4","1","0","11","1","0","13","14","tottenham-hotspur","2013","Vlad Chiriches 2013","Vlad Chiriches","6,00 Mill. €","tottenham-hotspur","2013","Centre Back"
"981","Michael Dawson","32","31","2838","0","17","3","0","16","7","0","29","15","tottenham-hotspur","2013","Michael Dawson 2013","Michael Dawson","9,00 Mill. €","tottenham-hotspur","2013","Centre Back"
"982","Jermain Defoe","14","3","423","1","20","8","0","0","1","0","6","5","tottenham-hotspur","2013","Jermain Defoe 2013","Jermain Defoe","10,00 Mill. €","tottenham-hotspur","2013","Centre Forward"
"983","Moussa Dembele","28","22","1819","1","15","5","1","10","5","0","34","29","tottenham-hotspur","2013","Moussa Dembele 2013",NA,NA,NA,NA,NA
"984","Christian Eriksen","25","23","1983","7","50","23","8","6","3","0","9","14","tottenham-hotspur","2013","Christian Eriksen 2013","Christian Eriksen","18,00 Mill. €","tottenham-hotspur","2013","Attacking Midfield"
"985","Brad Friedel","1","1","90","0","0","0","0","0","0","0","0","0","tottenham-hotspur","2013","Brad Friedel 2013","Brad Friedel","1,00 Mill. €","tottenham-hotspur","2013","Keeper"
"986","Ezekiel Fryers","7","3","399","0","2","0","0","0","0","0","1","5","tottenham-hotspur","2013","Ezekiel Fryers 2013",NA,NA,NA,NA,NA
"987","Lewis Holtby","13","6","567","1","20","4","0","6","1","0","13","8","tottenham-hotspur","2013","Lewis Holtby 2013","Lewis Holtby","11,00 Mill. €","tottenham-hotspur","2013","Attacking Midfield"
"988","Younes Kaboul","13","11","943","1","8","4","1","12","1","2","10","4","tottenham-hotspur","2013","Younes Kaboul 2013",NA,NA,NA,NA,NA
"989","Harry Kane","10","6","498","3","28","12","0","1","0","0","4","10","tottenham-hotspur","2013","Harry Kane 2013","Harry Kane","500 Th. €","tottenham-hotspur","2013","Centre Forward"
"990","Erik Lamela","9","3","327","0","8","2","1","1","1","0","5","4","tottenham-hotspur","2013","Erik Lamela 2013",NA,NA,NA,NA,NA
"991","Aaron Lennon","27","26","2187","1","25","7","3","5","1","0","10","24","tottenham-hotspur","2013","Aaron Lennon 2013","Aaron Lennon","16,00 Mill. €","tottenham-hotspur","2013","Right Wing"
"992","Hugo Lloris","37","37","3330","0","0","0","0","1","2","0","2","3","tottenham-hotspur","2013","Hugo Lloris 2013","Hugo Lloris","15,00 Mill. €","tottenham-hotspur","2013","Keeper"
"993","Kyle Naughton","22","19","1744","0","9","2","0","6","6","0","23","14","tottenham-hotspur","2013","Kyle Naughton 2013","Kyle Naughton","5,00 Mill. €","tottenham-hotspur","2013","Right-Back"
"994","Paulinho","30","28","2381","6","72","23","2","17","4","1","33","18","tottenham-hotspur","2013","Paulinho 2013","Paulinho","12,00 Mill. €","tottenham-hotspur","2013","Central Midfield"
"995","Alex Pritchard","1","0","7","0","0","0","0","0","0","0","0","0","tottenham-hotspur","2013","Alex Pritchard 2013","Alex Pritchard","-","tottenham-hotspur","2013","Attacking Midfield"
"996","Danny Rose","22","22","1902","1","15","3","2","18","4","1","28","43","tottenham-hotspur","2013","Danny Rose 2013","Danny Rose","5,00 Mill. €","tottenham-hotspur","2013","Left-Back"
"997","Sandro","17","10","827","1","16","4","0","21","6","0","28","8","tottenham-hotspur","2013","Sandro 2013","Sandro","16,00 Mill. €","tottenham-hotspur","2013","Defensive Midfield"
"998","Gylfi Sigurdsson","25","14","1276","5","36","14","0","3","2","0","9","17","tottenham-hotspur","2013","Gylfi Sigurdsson 2013","Gylfi Sigurdsson","8,00 Mill. €","tottenham-hotspur","2013","Attacking Midfield"
"999","Roberto Soldado","28","22","1932","6","59","16","5","4","6","0","22","29","tottenham-hotspur","2013","Roberto Soldado 2013","Roberto Soldado","28,00 Mill. €","tottenham-hotspur","2013","Centre Forward"
"1000","Andros Townsend","25","12","1226","1","55","20","0","4","2","0","8","31","tottenham-hotspur","2013","Andros Townsend 2013","Andros Townsend","500 Th. €","tottenham-hotspur","2013","Right Wing"
"1001","Milos Veljkovic","2","0","30","0","0","0","0","0","0","0","0","0","tottenham-hotspur","2013","Milos Veljkovic 2013","Milos Veljkovic","-","tottenham-hotspur","2013","Centre Back"
"1002","Jan Vertonghen","23","23","2004","0","13","3","0","9","4","0","12","23","tottenham-hotspur","2013","Jan Vertonghen 2013","Jan Vertonghen","19,00 Mill. €","tottenham-hotspur","2013","Centre Back"
"1003","Kyle Walker","26","26","2298","1","17","5","2","8","5","0","27","30","tottenham-hotspur","2013","Kyle Walker 2013","Kyle Walker","16,00 Mill. €","tottenham-hotspur","2013","Right-Back"
"1004","Adrián","20","20","1800","0","0","0","0","1","2","0","1","5","west-ham-united","2013","Adrián 2013","Adrián","2,00 Mill. €","west-ham-united","2013","Keeper"
"1005","Pablo Armero","5","3","322","0","1","0","0","5","1","0","5","3","west-ham-united","2013","Pablo Armero 2013","Pablo Armero","9,00 Mill. €","west-ham-united","2013","Left-Back"
"1006","Marco Borriello","2","0","90","0","0","0","0","1","0","0","4","2","west-ham-united","2013","Marco Borriello 2013","Marco Borriello","7,00 Mill. €","west-ham-united","2013","Centre Forward"
"1007","Andy Carroll","15","12","1093","2","49","14","4","9","0","1","31","22","west-ham-united","2013","Andy Carroll 2013","Andy Carroll","11,00 Mill. €","west-ham-united","2013","Centre Forward"
"1008","Carlton Cole","26","9","846","5","20","9","1","5","1","0","22","11","west-ham-united","2013","Carlton Cole 2013","Carlton Cole","3,50 Mill. €","west-ham-united","2013","Centre Forward"
"1009","Joe Cole","20","6","740","3","17","8","0","7","2","0","12","10","west-ham-united","2013","Joe Cole 2013","Joe Cole","4,00 Mill. €","west-ham-united","2013","Attacking Midfield"
"1010","James Collins","24","22","1899","1","14","2","0","19","6","0","16","7","west-ham-united","2013","James Collins 2013","James Collins","3,50 Mill. €","west-ham-united","2013","Centre Back"
"1011","Jack Collison","10","6","462","0","7","0","0","2","0","0","9","1","west-ham-united","2013","Jack Collison 2013","Jack Collison","3,50 Mill. €","west-ham-united","2013","Central Midfield"
"1012","Guy Demel","32","30","2638","1","12","3","0","19","3","0","29","17","west-ham-united","2013","Guy Demel 2013","Guy Demel","1,00 Mill. €","west-ham-united","2013","Right-Back"
"1013","Mohamed Diame","35","29","2484","4","59","17","2","35","4","0","42","35","west-ham-united","2013","Mohamed Diame 2013",NA,NA,NA,NA,NA
"1014","Alou Diarra","3","1","113","0","2","0","0","1","1","0","4","0","west-ham-united","2013","Alou Diarra 2013","Alou Diarra","1,25 Mill. €","west-ham-united","2013","Defensive Midfield"
"1015","Stewart Downing","32","29","2510","1","41","10","2","7","0","0","5","29","west-ham-united","2013","Stewart Downing 2013","Stewart Downing","8,50 Mill. €","west-ham-united","2013","Attacking Midfield"
"1016","Jussi Jaaskelainen","18","18","1620","0","0","0","1","1","0","0","2","1","west-ham-united","2013","Jussi Jaaskelainen 2013",NA,NA,NA,NA,NA
"1017","Matthew Jarvis","32","23","1949","2","14","6","3","5","1","0","9","20","west-ham-united","2013","Matthew Jarvis 2013",NA,NA,NA,NA,NA
"1018","Roger Johnson","4","2","272","0","1","0","0","1","1","0","2","0","west-ham-united","2013","Roger Johnson 2013","Roger Johnson","3,00 Mill. €","west-ham-united","2013","Centre Back"
"1019","Elliot Lee","1","0","2","0","0","0","0","0","0","0","0","0","west-ham-united","2013","Elliot Lee 2013","Elliot Lee","-","west-ham-united","2013","Centre Forward"
"1020","Modibo Maiga","14","11","1007","1","26","6","2","7","0","0","13","6","west-ham-united","2013","Modibo Maiga 2013",NA,NA,NA,NA,NA
"1021","George McCartney","22","20","1840","0","2","0","0","12","4","0","10","23","west-ham-united","2013","George McCartney 2013","George McCartney","1,50 Mill. €","west-ham-united","2013","Left-Back"
"1022","Ravel Morrison","16","12","1154","3","20","4","2","8","5","0","13","19","west-ham-united","2013","Ravel Morrison 2013","Ravel Morrison","750 Th. €","west-ham-united","2013","Attacking Midfield"
"1023","Mark Noble","38","38","3343","3","21","5","4","48","6","1","41","42","west-ham-united","2013","Mark Noble 2013","Mark Noble","8,00 Mill. €","west-ham-united","2013","Central Midfield"
"1024","Antonio Nocerino","10","2","254","0","3","1","0","4","3","0","6","5","west-ham-united","2013","Antonio Nocerino 2013","Antonio Nocerino","6,50 Mill. €","west-ham-united","2013","Central Midfield"
"1025","Kevin Nolan","33","33","2694","7","50","20","5","22","7","2","44","19","west-ham-united","2013","Kevin Nolan 2013","Kevin Nolan","6,00 Mill. €","west-ham-united","2013","Attacking Midfield"
"1026","Joey O'Brien","17","13","1235","0","4","1","0","10","4","0","14","16","west-ham-united","2013","Joey O'Brien 2013","Joey O'Brien","2,50 Mill. €","west-ham-united","2013","Right-Back"
"1027","Mladen Petric","3","0","65","0","0","0","0","1","0","0","1","2","west-ham-united","2013","Mladen Petric 2013","Mladen Petric","3,00 Mill. €","west-ham-united","2013","Centre Forward"
"1028","Razvan Rat","15","11","1131","0","6","1","0","9","1","0","8","11","west-ham-united","2013","Razvan Rat 2013","Razvan Rat","2,00 Mill. €","west-ham-united","2013","Left-Back"
"1029","Winston Reid","22","18","1674","1","10","2","0","11","2","0","20","21","west-ham-united","2013","Winston Reid 2013","Winston Reid","6,00 Mill. €","west-ham-united","2013","Centre Back"
"1030","Matthew Taylor","20","16","1413","0","14","2","0","11","3","0","12","14","west-ham-united","2013","Matthew Taylor 2013","Matthew Taylor","3,00 Mill. €","west-ham-united","2013","Left Midfield"
"1031","James Tomkins","31","31","2601","0","12","5","0","24","5","1","28","25","west-ham-united","2013","James Tomkins 2013","James Tomkins","5,50 Mill. €","west-ham-united","2013","Centre Back"
"1032","Ricardo Vaz Te","8","3","257","2","9","5","0","1","0","0","2","4","west-ham-united","2013","Ricardo Vaz Te 2013",NA,NA,NA,NA,NA
"1033","Sammy Ameobi","10","4","372","0","6","0","0","3","1","0","5","5","newcastle-united","2013","Sammy Ameobi 2013","Sammy Ameobi","3,00 Mill. €","newcastle-united","2013","Left Wing"
"1034","Shola Ameobi","26","14","1284","2","35","14","0","9","0","1","30","30","newcastle-united","2013","Shola Ameobi 2013","Shola Ameobi","2,00 Mill. €","newcastle-united","2013","Centre Forward"
"1035","Vurnon Anita","34","28","2461","1","22","3","1","20","2","0","21","24","newcastle-united","2013","Vurnon Anita 2013","Vurnon Anita","8,00 Mill. €","newcastle-united","2013","Defensive Midfield"
"1036","Adam Armstrong","4","0","30","0","1","0","0","0","0","0","0","2","newcastle-united","2013","Adam Armstrong 2013","Adam Armstrong","-","newcastle-united","2013","Centre Forward"
"1037","Hatem Ben Arfa","27","13","1303","3","45","13","3","9","1","0","17","25","newcastle-united","2013","Hatem Ben Arfa 2013","Hatem Ben Arfa","13,50 Mill. €","newcastle-united","2013","Attacking Midfield"
"1038","Yohan Cabaye","19","17","1509","7","61","24","2","21","5","0","23","14","newcastle-united","2013","Yohan Cabaye 2013","Yohan Cabaye","16,50 Mill. €","newcastle-united","2013","Central Midfield"
"1039","Papiss Cissé","24","15","1383","2","47","22","2","3","0","0","12","12","newcastle-united","2013","Papiss Cissé 2013",NA,NA,NA,NA,NA
"1040","Fabricio Coloccini","27","27","2405","0","3","1","0","16","2","0","6","13","newcastle-united","2013","Fabricio Coloccini 2013","Fabricio Coloccini","8,00 Mill. €","newcastle-united","2013","Centre Back"
"1041","Luuk De Jong","12","8","671","0","17","7","1","1","0","0","4","13","newcastle-united","2013","Luuk De Jong 2013",NA,NA,NA,NA,NA
"1042","Mathieu Debuchy","29","28","2494","1","36","12","3","32","8","1","39","22","newcastle-united","2013","Mathieu Debuchy 2013","Mathieu Debuchy","11,50 Mill. €","newcastle-united","2013","Right-Back"
"1043","Paul Dummett","18","11","1139","1","12","2","0","10","1","1","9","3","newcastle-united","2013","Paul Dummett 2013","Paul Dummett","200 Th. €","newcastle-united","2013","Left-Back"
"1044","Rob Elliot","2","2","180","0","0","0","0","0","0","0","0","0","newcastle-united","2013","Rob Elliot 2013","Rob Elliot","250 Th. €","newcastle-united","2013","Keeper"
"1045","Dan Gosling","8","4","361","0","6","0","0","3","1","0","5","1","newcastle-united","2013","Dan Gosling 2013","Dan Gosling","1,50 Mill. €","newcastle-united","2013","Central Midfield"
"1046","Yoan Gouffran","35","31","2620","6","52","19","3","16","3","0","34","18","newcastle-united","2013","Yoan Gouffran 2013","Yoan Gouffran","7,50 Mill. €","newcastle-united","2013","Left Wing"
"1047","Jonás Gutiérrez","2","1","63","0","1","0","0","0","0","0","1","1","newcastle-united","2013","Jonás Gutiérrez 2013","Jonás Gutiérrez","6,00 Mill. €","newcastle-united","2013","Left Midfield"
"1048","Massadio Haidara","11","3","426","0","3","1","0","3","2","0","7","6","newcastle-united","2013","Massadio Haidara 2013","Massadio Haidara","2,50 Mill. €","newcastle-united","2013","Left-Back"
"1049","Tim Krul","36","36","3240","0","1","0","0","0","0","0","1","2","newcastle-united","2013","Tim Krul 2013","Tim Krul","8,50 Mill. €","newcastle-united","2013","Keeper"
"1050","Sylvain Marveaux","9","2","224","0","4","0","0","0","0","0","1","2","newcastle-united","2013","Sylvain Marveaux 2013","Sylvain Marveaux","3,50 Mill. €","newcastle-united","2013","Attacking Midfield"
"1051","Gabriel Obertan","3","0","33","0","0","0","0","0","0","0","0","0","newcastle-united","2013","Gabriel Obertan 2013","Gabriel Obertan","3,00 Mill. €","newcastle-united","2013","Right Wing"
"1052","Loïc Remy","26","24","2103","14","88","32","3","7","2","1","24","27","newcastle-united","2013","Loïc Remy 2013",NA,NA,NA,NA,NA
"1053","Davide Santon","27","26","2223","0","29","6","0","16","1","0","20","15","newcastle-united","2013","Davide Santon 2013","Davide Santon","10,00 Mill. €","newcastle-united","2013","Right-Back"
"1054","Moussa Sissoko","35","35","3034","3","44","16","6","28","8","0","41","31","newcastle-united","2013","Moussa Sissoko 2013","Moussa Sissoko","10,00 Mill. €","newcastle-united","2013","Attacking Midfield"
"1055","Steven Taylor","10","9","730","1","3","1","0","8","0","1","6","1","newcastle-united","2013","Steven Taylor 2013","Steven Taylor","5,00 Mill. €","newcastle-united","2013","Centre Back"
"1056","Cheick Tioté","33","31","2764","0","44","11","1","38","10","0","71","54","newcastle-united","2013","Cheick Tioté 2013",NA,NA,NA,NA,NA
"1057","Mike Williamson","33","32","2912","0","10","1","0","11","0","0","18","12","newcastle-united","2013","Mike Williamson 2013","Mike Williamson","4,00 Mill. €","newcastle-united","2013","Centre Back"
"1058","Mapou Yanga-Mbiwa","23","17","1497","0","4","0","0","13","5","1","18","11","newcastle-united","2013","Mapou Yanga-Mbiwa 2013","Mapou Yanga-Mbiwa","9,00 Mill. €","newcastle-united","2013","Centre Back"
"1059","Gabriel Agbonlahor","30","29","2447","4","46","15","5","13","7","0","40","36","aston-villa","2013","Gabriel Agbonlahor 2013","Gabriel Agbonlahor","9,00 Mill. €","aston-villa","2013","Centre Forward"
"1060","Marc Albrighton","19","9","966","0","25","7","4","7","4","0","13","16","aston-villa","2013","Marc Albrighton 2013","Marc Albrighton","4,00 Mill. €","aston-villa","2013","Right Midfield"
"1061","Leandro Bacuna","35","28","2594","5","36","10","1","28","6","0","42","9","aston-villa","2013","Leandro Bacuna 2013","Leandro Bacuna","1,25 Mill. €","aston-villa","2013","Right Midfield"
"1062","Nathan Baker","30","29","2478","0","12","3","0","26","6","0","35","14","aston-villa","2013","Nathan Baker 2013","Nathan Baker","2,00 Mill. €","aston-villa","2013","Centre Back"
"1063","Joe Bennett","5","3","244","0","1","0","0","0","2","0","2","1","aston-villa","2013","Joe Bennett 2013","Joe Bennett","2,50 Mill. €","aston-villa","2013","Left-Back"
"1064","Christian Benteke","26","24","2128","10","69","28","2","8","4","0","47","43","aston-villa","2013","Christian Benteke 2013","Christian Benteke","12,00 Mill. €","aston-villa","2013","Centre Forward"
"1065","Ryan Bertrand","16","16","1391","0","2","1","0","16","3","0","18","15","aston-villa","2013","Ryan Bertrand 2013","Ryan Bertrand","5,00 Mill. €","chelsea-fc","2013","Left-Back"
"1066","Ryan Bertrand","16","16","1391","0","2","1","0","16","3","0","18","15","aston-villa","2013","Ryan Bertrand 2013","Ryan Bertrand","5,00 Mill. €","aston-villa","2013","Left-Back"
"1067","Jordan Bowery","9","2","234","0","7","4","1","2","0","0","6","2","aston-villa","2013","Jordan Bowery 2013","Jordan Bowery","500 Th. €","aston-villa","2013","Centre Forward"
"1068","Ciaran Clark","27","23","2202","0","13","1","0","29","8","0","31","15","aston-villa","2013","Ciaran Clark 2013","Ciaran Clark","5,00 Mill. €","aston-villa","2013","Centre Back"
"1069","Fabian Delph","34","33","3003","3","36","9","2","31","7","0","32","61","aston-villa","2013","Fabian Delph 2013","Fabian Delph","3,00 Mill. €","aston-villa","2013","Central Midfield"
"1070","Karim El Ahmadi","31","26","2187","2","29","7","1","30","7","0","53","13","aston-villa","2013","Karim El Ahmadi 2013","Karim El Ahmadi","3,00 Mill. €","aston-villa","2013","Central Midfield"
"1071","Jack Grealish","1","0","2","0","0","0","0","0","0","0","0","0","aston-villa","2013","Jack Grealish 2013","Jack Grealish","-","aston-villa","2013","Left Wing"
"1072","Brad Guzan","38","38","3420","0","0","0","1","0","1","0","1","7","aston-villa","2013","Brad Guzan 2013","Brad Guzan","3,50 Mill. €","aston-villa","2013","Keeper"
"1073","Nicklas Helenius","3","0","49","0","1","0","0","0","0","0","0","0","aston-villa","2013","Nicklas Helenius 2013","Nicklas Helenius","1,50 Mill. €","aston-villa","2013","Centre Forward"
"1074","Chris Herd","2","2","171","0","0","0","0","2","2","0","4","6","aston-villa","2013","Chris Herd 2013","Chris Herd","2,00 Mill. €","aston-villa","2013","Defensive Midfield"
"1075","Grant Holt","10","3","376","1","3","1","0","0","1","0","11","11","aston-villa","2013","Grant Holt 2013","Grant Holt","4,00 Mill. €","aston-villa","2013","Centre Forward"
"1076","Libor Kozak","14","8","781","4","12","8","0","2","1","0","18","13","aston-villa","2013","Libor Kozak 2013",NA,NA,NA,NA,NA
"1077","Matthew Lowton","23","18","1663","0","2","0","3","16","4","0","15","11","aston-villa","2013","Matthew Lowton 2013","Matthew Lowton","3,50 Mill. €","aston-villa","2013","Right-Back"
"1078","Toni Luna","17","16","1381","1","1","1","0","13","2","0","13","9","aston-villa","2013","Toni Luna 2013",NA,NA,NA,NA,NA
"1079","Jores Okore","3","2","167","0","0","0","0","0","0","0","3","1","aston-villa","2013","Jores Okore 2013","Jores Okore","4,00 Mill. €","aston-villa","2013","Centre Back"
"1080","Callum Robinson","4","0","46","0","1","0","0","0","0","0","0","2","aston-villa","2013","Callum Robinson 2013","Callum Robinson","-","aston-villa","2013","Centre Forward"
"1081","Yacouba Sylla","11","5","548","0","4","1","0","7","1","0","15","3","aston-villa","2013","Yacouba Sylla 2013","Yacouba Sylla","2,50 Mill. €","aston-villa","2013","Defensive Midfield"
"1082","Aleksandar Tonev","17","6","596","0","24","9","0","5","0","0","10","5","aston-villa","2013","Aleksandar Tonev 2013","Aleksandar Tonev","2,50 Mill. €","aston-villa","2013","Left Wing"
"1083","Ron Vlaar","32","32","2805","0","10","2","1","18","4","0","12","12","aston-villa","2013","Ron Vlaar 2013","Ron Vlaar","6,50 Mill. €","aston-villa","2013","Centre Back"
"1084","Andreas Weimann","37","31","2660","5","70","21","4","9","1","0","26","23","aston-villa","2013","Andreas Weimann 2013","Andreas Weimann","3,00 Mill. €","aston-villa","2013","Centre Forward"
"1085","Ashley Westwood","35","35","3081","3","29","8","2","24","7","0","37","19","aston-villa","2013","Ashley Westwood 2013","Ashley Westwood","3,50 Mill. €","aston-villa","2013","Defensive Midfield"
"1086","Artur Boruc","29","29","2578","0","0","0","1","2","0","0","0","2","southampton","2013","Artur Boruc 2013","Artur Boruc","1,50 Mill. €","southampton-fc","2013","Keeper"
"1087","Calum Chambers","22","18","1641","0","6","1","0","10","0","0","20","10","southampton","2013","Calum Chambers 2013","Calum Chambers","-","southampton-fc","2013","Centre Back"
"1088","Nathaniel Clyne","25","20","1861","0","4","3","4","22","3","0","17","10","southampton","2013","Nathaniel Clyne 2013","Nathaniel Clyne","5,00 Mill. €","southampton-fc","2013","Right-Back"
"1089","Jack Cork","28","21","1736","0","18","4","1","17","5","0","23","16","southampton","2013","Jack Cork 2013","Jack Cork","2,50 Mill. €","southampton-fc","2013","Defensive Midfield"
"1090","Kelvin Davis","2","2","180","0","0","0","0","0","0","0","0","0","southampton","2013","Kelvin Davis 2013","Kelvin Davis","250 Th. €","southampton-fc","2013","Keeper"
"1091","Steven Davis","34","28","2497","2","32","7","7","21","3","0","25","17","southampton","2013","Steven Davis 2013","Steven Davis","4,00 Mill. €","southampton-fc","2013","Central Midfield"
"1092","José Fonte","36","35","3181","3","19","6","0","26","7","0","33","17","southampton","2013","José Fonte 2013","José Fonte","2,50 Mill. €","southampton-fc","2013","Centre Back"
"1093","Daniel Fox","3","3","258","0","1","0","1","1","0","0","4","2","southampton","2013","Daniel Fox 2013",NA,NA,NA,NA,NA
"1094","Sam Gallagher","18","3","383","1","9","4","0","3","0","0","7","4","southampton","2013","Sam Gallagher 2013","Sam Gallagher","-","southampton-fc","2013","Centre Forward"
"1095","Paulo Gazzaniga","8","7","662","0","0","0","0","0","0","0","0","1","southampton","2013","Paulo Gazzaniga 2013","Paulo Gazzaniga","3,50 Mill. €","southampton-fc","2013","Keeper"
"1096","Guly","9","0","76","0","3","2","0","0","0","0","5","0","southampton","2013","Guly 2013","Guly","1,50 Mill. €","southampton-fc","2013","Attacking Midfield"
"1097","Jos Hooiveld","3","3","270","0","1","0","0","0","1","0","3","2","southampton","2013","Jos Hooiveld 2013","Jos Hooiveld","1,75 Mill. €","southampton-fc","2013","Centre Back"
"1098","Adam Lallana","38","37","3100","9","73","30","6","16","3","0","31","77","southampton","2013","Adam Lallana 2013","Adam Lallana","5,50 Mill. €","southampton-fc","2013","Attacking Midfield"
"1099","Rickie Lambert","37","31","2816","13","104","42","10","9","2","0","38","18","southampton","2013","Rickie Lambert 2013","Rickie Lambert","3,50 Mill. €","southampton-fc","2013","Centre Forward"
"1100","Dejan Lovren","31","31","2788","2","20","4","1","35","7","0","27","21","southampton","2013","Dejan Lovren 2013","Dejan Lovren","7,00 Mill. €","southampton-fc","2013","Centre Back"
"1101","Pablo Osvaldo","13","9","855","3","28","12","0","4","3","0","17","7","southampton","2013","Pablo Osvaldo 2013","Pablo Osvaldo","17,00 Mill. €","southampton-fc","2013","Centre Forward"
"1102","Gastón Ramírez","18","3","511","1","21","5","3","8","2","0","15","14","southampton","2013","Gastón Ramírez 2013","Gastón Ramírez","13,00 Mill. €","southampton-fc","2013","Attacking Midfield"
"1103","Harrison Reed","4","0","10","0","0","0","0","0","0","0","0","1","southampton","2013","Harrison Reed 2013","Harrison Reed","-","southampton-fc","2013","Central Midfield"
"1104","Jay Rodríguez","33","30","2567","15","100","34","3","22","2","0","28","31","southampton","2013","Jay Rodríguez 2013","Jay Rodríguez","6,50 Mill. €","southampton-fc","2013","Left Wing"
"1105","Morgan Schneiderlin","33","31","2766","2","30","6","1","44","8","0","54","30","southampton","2013","Morgan Schneiderlin 2013","Morgan Schneiderlin","3,00 Mill. €","southampton-fc","2013","Defensive Midfield"
